A Warnakulasuriya
Lakshitha Madushan
Lakshitha Manasinghe
Lakvin Abeysinghe
Lalhmangaiha
Lalhriatrenga
Lalhruaizela
Lalit Sharma
Lalit Yadav
Lamissa Sanogo
Langlonyamba Meitan Keishangbam
Lansana Lamin
Larry Edward
Larry Sangma
Lasan de Silva
Lasanda Rukmal
Lasindu Arosha
Lasindu Nimsara
Lasith Abeyratne
Lasith Croospulle
Lasith Embuldeniya
Lasith Lakshan
Lasith Malinga
Lassana Perera
Last Emilio
Latif Mirzakwal
Lauchie Johns
Laurie Evans
Lautaro Musiani
Lawrence Bonner
Laxman Gaonkar
Lazarus Mokoena
Leano Maphane
Lebona Leokaoke
Lee Hyosin
Lee Kangmin
Lee Nelson
Leem Shafeeg
Leem Shafeeq
Lefa Mosena
Lefa Thaba
Lefulere Monanthane
Lega Siaka
Lehan Botha
Leighton Swarts
Leke Oyede
Lendl Simmons
Lenert van Wyk
Leniko Boucher
Lennox Chando
Leo Carter
Leo Fransisco
Leonardo Julien
Lerato Kgoatle
Lerotholi Gabriel
Leroy Lugg
Lesego Senokwane
Lesiba Ngoepe
Leslie Dunbar
Letlotlo Sesele
Leus du Plooy
Lewis Goldsworthy
Lewis Gregory
Lewis Hill
Lewis McManus
Lhuan-dre Pretorius
Liam Alder
Liam Basson
Liam Dawson
Liam Denny
Liam Doherty
Liam Haskett
Liam Hatcher
Liam Hurt
Liam Karlsson
Liam Livingstone
Liam McCarthy
Liam Naylor
Liam Patterson-White
Liam Peters
Liam Plunkett
Liam Scott
Liam Trevaskis
Licha Jhon
Linal Subasinghe
Lindinkosi Zulu
Lingeswaran Canessane
Lisula Lakshan
Litton Das
Llew Johnson
Lo-handre Louwrens
Lockie Ferguson
Logan van Beek
Lohan de Zoysa
Lokesh Bam
Long Martinez
Lorcan Tucker
Lorne Burns
Louis Bruce
Louis Kimber
Louis Klazinga
Louis van der Westhuizen
Louren Steenkamp
Lourenco Salomone
Lourenço Simango
Loyiso Mdasha
Luc Benkenstein
Luca Petre
Lucas Barker
Lucas Maximo
Lucas Oluoch
Lucas Rossi
Lucas Smith
Lucky Ali
Ludwig Kaestner
Luis Hermida
Luis Mavume
Luis Morais
Luis Reece
Luiz Gabriel Moras
Luiz Muller
Luka Stubbs
Luka Woods
Lukas Carey
Lukas Ruane
Luke Collado
Luke Doneathy
Luke Georgeson
Luke Harrington-Myers
Luke Hollman
Luke Holt
Luke Jongwe
Luke Le Tissier
Luke Philander
Luke Potthoff
Luke Procter
Luke Ronchi
Luke Schlemmer
Luke Thomas Bichard
Luke Ward
Luke Watson
Luke Wells
Luke Woodcock
Luke Wright
Luo Shilin
Luqman Butt
Luthando Mnyanda
Luvsanzundui Erdenebulgan
Luvuyo Nkese
Luwsanzundui Erdenebulgan
Lwando Tywaku
Lwin Maw
Lyndon James
M Hemanth Reddy
M Shahrukh Khan
MD Rahmatullah
MS Dhoni
Ma Qiancheng
Ma'ara Ave
Maahir Joseph
Maarten Steenkamp
Maaz Khan
Maaz Sadaqat
Mabsar Abdulla
Macai Simmons
Macalister Wright
Macdara Cosgrave
Machanda Biddappa
Mackenzie Harvey
Mackenzie Jones
Madawa Warnapura
Madhawa Basnayaka
Madhawa Nimesh
Maduka Liyanapathiranage
Madupa Fernando
Madura Lakmal
Madura Madushanka
Maduranga Zoysa
Madushan Ferdinando
Madushan Ravichandrakumar
Madushanka Ekanayake
Magnus Kristensen
Mahaj Chadha
Mahamadou Diaby
Mahamadou Malle
Mahedi Hasan
Maheesh Theekshana
Mahela Jayawardene
Mahela Udawatte
Mahesh Kumara
Mahesh Priyadarshana
Mahesh Tambe
Mahfijul Islam
Mahfuzur Rahman Rabby
Mahidul Islam Ankon
Mahipal Lomror
Mahli Beardman
Mahmed Bawa
Mahmud Jasat
Mahmudul Hasan
Mahmudul Hasan Joy
Mahmudullah
Mahuru Dai
Maidul Islam
Maiga Ibrahim
Majeed Alam
Makoto Taniyama
Malachi Jones
Malan Kruger
Malan Madusanka
Malcolm Nofal
Malcolm Waller
Maleesha Silva
Malinda Jayod
Malinda Pushpakumara
Malindu Maduranga
Malindu Shehan
Malinga Amarasinghe
Malinga Bandara
Malinga Maligaspe
Malith Cooray
Malith de Silva
Malka Madusanka
Malusi Siboto
Malyar Stanikzai
Mamadou Diawara
Mamoon Latif
Manan Ali
Manan Bashir
Manan Vohra
Mancoba Jele
Mandar Mahale
Mandeep Singh
Manelker De Silva
Manender Singh
Mangal Mahrour
Mangala Gunasekara
Mangaliso Mosehle
Mangesh Yadav
Manikandan Mariyappan
Manisankar  Murasingh
Manish Pandey
Manish Sharma
Manisha Rupasinghe
Manjeet Singh
Manjula Guruge
Manjula Jayawardhana
Manjula de Zoysa
Manmeet Koli
Manoj Adhikari
Manoj Bhandage
Manoj Sarathchandra
Manoj Tiwary
Manpreet Gony
Manpreet Singh
Mansab Gill
Mansoor Amjad
Mansoor Malangzai
Mansoor Safi
Manuel Iturbe
Manvinder  Bisla
Maqsood Ahmad
Marc Taylor
Marcelle Hanekom
Marcello Piedt
Marchant de Lange
Marco Jansen
Marco Marais
Marcus Campopiano
Marcus Cope
Marcus Harris
Marcus O'Riordan
Marcus Scotland
Marcus Stoinis
Marcus Thurgate
Marcus Trescothick
Marimuthu Vikneshwaran
Mario Smith
Mark Adair
Mark Andrianatos
Mark Bacarese
Mark Chapman
Mark Cosgrove
Mark Craig
Mark Deyal
Mark Donegan
Mark Fontaine
Mark Garratt
Mark Gouws
Mark Manalo
Mark Oman
Mark Pavlovic
Mark Pettini
Mark Simpson-Parker
Mark Stoneman
Mark Wallace
Mark Watt
Mark Wood
Marko Vaik
Marlon Graham
Marlon Samuels
Marlon Turner
Marnus Labuschagne
Marques Ackerman
Marshal Takodza
Marshall Ayub
Martin Akayezu
Martin Andersson
Martin Coetzee
Martin Guptill
Martin Siri
Martin Walters
Martin Worndl
Martin-Dale Bradley
Marty Kain
Mashrafe Mortaza
Mason Arthur Sherry
Mason Crane
Mason Hughes
Masood Gurbaz
Masood Jayezeh
Masum Khan
Matheesha Perera
Mathew Christensen
Mathew Pillans
Matt Coles
Matt Critchley
Matt Ford
Matt Gibson
Matt Henry
Matt Machan
Matt McGillivray
Matt Renshaw
Matt Taylor
Matthew Ainsworth
Matthew Ansell
Matthew Arnold
Matthew Boast
Matthew Boyce
Matthew Boyle
Matthew Breetzke
Matthew Brewster
Matthew Carter
Matthew Cross
Matthew Forde
Matthew Gilkes
Matthew Humphreys
Matthew Hunter
Matthew Hurst
Matthew Jenkinson
Matthew Kelly
Matthew Kleinveldt
Matthew Kostic
Matthew Lamb
Matthew Martin
Matthew Montgomery
Matthew Nandu
Matthew Potts
Matthew Revis
Matthew Short
Matthew Spoors
Matthew Stokes
Matthew Tromp
Matthew Wade
Matthew Waite
Matthew Welch
Matthew Whelan
Matthew de Villiers
Mattie McKiernan
Matty Hurst
Maurice Castillo
Max Birthisel
Max Bryant
Max Burton
Max Chu
Max Holden
Max O'Dowd
Max Sorensen
Maxwell Fru
Mayank Agarwal
Mayank Kumar
Mayank Nagayach
Mayank Rawat
Mazhar Khan
Mazharul Islam
Mbasa Gqadushe
Md Ariyan
Md Rafi Uzzaman Rafi
Md Shafiqul Haque
Md Shuayeb
Mecit Ozturk
Meeka-eel Prince
Meet Ahir
Meet Bhavsar
Mehar Cheema
Mehboob Ali
Mehboob Taskin
Mehedi Maruf
Mehidy Hasan Miraz
Mehrab Hossain
Mehran Khan
Melusi Magagula
Melvin Deveraj
Merwais Shinwari
Mesuli Vuba
Methsith Jayamanna
Metuisela Beitaki
Mian Siddique
Michael Aboagye
Michael Archer
Michael Badenhorst
Michael Bracewell
Michael Burgess
Michael Carberry
Michael Cohen
Michael Copeland
Michael Dorgan
Michael Erlank
Michael Finan
Michael Gilmour
Michael Grzinic
Michael Hill
Michael Hussey
Michael Jones
Michael Klinger
Michael Leask
Michael Levitt
Michael Loubser
Michael Lumb
Michael Neser
Michael Pepper
Michael Pollard
Michael Price
Michael Raikes
Michael Richardson
Michael Rippon
Michael Ross
Michael Sclanders
Michael Swart
Michael Weldon
Michael Yardy
Michael van Lingen
Michael van Rensburg
Michalis Kyriacou
Michau du Preez
Michel Assuncao
Mickil Jaiswal
Mien Mehmood
Migael Pretorius
Miggy Podosky
Miguel Cummins
Miguel Machado
Mihiranga Silva
Mihlali Mpongwana
Mike Choamba
Mikyle Louis
Milan Rathnayake
Milen Gogev
Miles Hammond
Milind Kumar
Milinda Siriwardana
Milton Kavana
Milton Shumba
Mimi Alex
Mineth Premaratne
Minhaj Jalill
Minhaj Kulfiwala
Minhaz Khan
Minhaz Khojbariya
Miniru Kpaka
Minod Bhanuka
Miracle Akhigbe
Miranga Wickramage
Mirwais Ashraf
Mirza Ahsan
Mirza Baig
Mirza Mohammed Baig
Misbah-ul-Haq
Mishen Silva
Mitch Renwick
Mitchell Hay
Mitchell Johnson
Mitchell Marsh
Mitchell Owen
Mitchell Santner
Mitchell Thompson
Mitchell Van Buuren
Mitesh Patel
Mithira Thenura
Mithun Jayawickrama
Mizanur Rahman
Mkhululi Calana
Mmoloki Mooketsi
Mncedisi Malika
Moazzam Baig
Mobashar Ashraf
Mobin Bakhtyar
Modou Bojang
Moeen Ali
Mofassar Saeed
Mohaiminul Khan
Mohamed Abdulla
Mohamed Arief
Mohamed Azzam
Mohamed Coulibaly
Mohamed Issa
Mohamed Mahfooz
Mohamed Rishwan
Mohamed Shilmi
Mohamed Shiraz
Mohamed Shiyam
Mohameed Taiwo
Mohammad Aadil Alam
Mohammad Abrar
Mohammad Ahnaff
Mohammad Ahsan
Mohammad Akram
Mohammad Amin
Mohammad Amir Khan
Mohammad Ashraful
Mohammad Asif
Mohammad Azeem
Mohammad Bhaidu
Mohammad Boota
Mohammad Dawood
Mohammad Enamul
Mohammad Faiq
Mohammad Faizan
Mohammad Fayyaz
Mohammad Hafeez
Mohammad Haris
Mohammad Hasan
Mohammad Huraira
Mohammad Ihsan
Mohammad Imran
Mohammad Ishaq
Mohammad Kamran
Mohammad Mithun
Mohammad Mohsin
Mohammad Nabi
Mohammad Nadeem
Mohammad Naeem
Mohammad Naim
Mohammad Naseem
Mohammad Naveed
Mohammad Nawaz
Mohammad Rakib
Mohammad Riaz
Mohammad Rizwan
Mohammad Saif
Mohammad Saifuddin
Mohammad Salman
Mohammad Sami
Mohammad Sardar
Mohammad Sarwar
Mohammad Shahid
Mohammad Shahzad
Mohammad Sharif
Mohammad Taha
Mohammad Tahir
Mohammad Talha
Mohammad Tauqir
Mohammad Usman
Mohammad Waqas
Mohammad Wasim
Mohammad Yasin
Mohammad Yasir
Mohammad Zulkifal
Mohammadullah Najibullah
Mohammed Alamgir
Mohammed Aslam
Mohammed Azharuddeen
Mohammed Faraazuddin
Mohammed Irshad
Mohammed Jamadar
Mohammed Qasim
Mohammed Rizlan
Mohammed Sameer
Mohammed Shamaaz
Mohammed Siraj
Mohan Manivannan
Mohan Vivekanandan
Mohibullah
Mohibullah Hamraz
Mohibullah Zurmati
Mohit Dixit
Mohit Jangra
Mohit Mittan
Mohit Raut
Mohit Sharma
Mohleki Leoela
Mohmad Sohel Patel
Mohmedazim Abbasbhai
Mohsin Khan
Mohsin Shabbir
Moin Khan
Moinuddin
Moinul Islam
Moises Henriques
Mojeed Adiamo
Mokbul Ahammed
Molai Matsau
Mominul Haque
Monank Patel
Mondli Khumalo
Monil Patel
Monroux Kasselman
Morgan Topping
Morne Bauer
Morne Venter
Morne van Wyk
Morris Ouma
Mosaddek Hossain
Mosaddek Iftekhar
Moses Anafie
Mosharraf Hossain
Moshiur Rahman
Moustapha Diakite
Movin Subasingha
Mrinmoy Dutta
Mrittunjoy Chowdhury
Mrunal Devdhar
Mrunal Patel
Muaviath Ganee
Mubasir Khan
Mubin Ahmed Dishan
Mudassar Muhammad
Muditha Lakshan
Muditha Premadasa
Muhamad Syahadat
Muhammad Abbas
Muhammad Ajmal
Muhammad Akhlaq
Muhammad Amin
Muhammad Amir
Muhammad Amir Barki
Muhammad Arfan
Muhammad Asim
Muhammad Asjed
Muhammad Awais
Muhammad Babar
Muhammad Burhan
Muhammad Butt
Muhammad Fahad
Muhammad Faizan
Muhammad Farooq
Muhammad Ghous
Muhammad Haziq Aiman
Muhammad Kaleem
Muhammad Kashif
Muhammad Khan
Muhammad Manack
Muhammad Moiz
Muhammad Muneeb
Muhammad Murad
Muhammad Musa
Muhammad Nadir
Muhammad Naeem
Muhammad Qasim
Muhammad Riazullah
Muhammad Sadique
Muhammad Safdar
Muhammad Saleem
Muhammad Saqlain
Muhammad Shahzad
Muhammad Siddiqui
Muhammad Soban
Muhammad Tahir
Muhammad Tanveer
Muhammad Umar
Muhammad Usman
Muhammad Waseem
Muhammad Yasin
Muhammad Younis
Muhammad Zafar Khan
Muhammad Zohaib
Muhammed Manga
Muhammed Mayet
Muhammed Turkmen
Mujeeb Ur Rahman
Mujeeb-ur-Rehman
Mujibur Ali
Mukesh Suthar
Mukesh Thakur
Mukhtar Ahmed
Mukhtar Ghulami
Mukhtar Hussain
Mukidul Islam
Muktar Ali
Mukul Choudhary
Mukul Kadyan
Munashe Chimusoro
Mungun Altankhuyag
Munim Shahriar
Munir Ahmad
Murali Obili
Murali Vijay
Muralidhara Vandrasi
Murat Yilmaz
Murid Ekrami
Murray Commins
Murvin Abinash
Musa Makhubela
Musa Shaheen
Musaddiq Ahmed
Musadiq Ahmed
Musawenkosi Twala
Mushfiqur Rahim
Muslim  Musa
Muslim Yar
Mussadiq Ahmed
Mustafa Iqbal
Mustafa Omer
Mustapha Suwareh
Mustapha Yusuf
Mutte Ikram
Muzahir Raza
Muzammil Shahzad
Myat Thu Aung
Myshukur Rahaman
Nabi Gul
Nabil Master
Nadeem Ahmed
Nadeem Khan
Nadeera Balasooriya
Nadeera Ishan
Nadeera Nawela
Nadif Chowdhury
Nadun Dilshan
Naeem Anjum
Naeem Gull
Naeem Islam
Naeem Islam jnr
Nahidul Islam
Naidoo Krishna
Naidoo Krishnasamy
Naiem Bameri
Najeeb Tarakai
Najibullah Zadran
Najjam Shahzad
Najmul Hossain Shanto
Nakul Sharma
Nakul Verma
Nalaka Tenuwara
Nalaka Thenuwara
Nalin Nipiko
Naman Dhir
Naman Ojha
Namgang Chejay
Namgay Thinley
Namsrai Bat-yalalt
Nandre Burger
Nangeyalia Kharote
Narawit Nuntarach
Narayan Jagadeesan
Narayan Saishiv
Naren Muralidaran
Narendra Ekanayake
Narendra Kalyan
Narsingh Deonarine
Naseem Khan
Naseem Khushi
Nasir Aziz
Nasir Hossain
Nasir Jamal
Nasir Jamshed
Nasir Khan Omar
Nasir Nawaz
Nasir Totakhil
Nasrulla Rana
Nasum Ahmed
Nat Watkins
Nathan Banner
Nathan Buck
Nathan Collins
Nathan Coulter-Nile
Nathan Edward
Nathan Ellis
Nathan Hauritz
Nathan Knights
Nathan McAndrew
Nathan McCullum
Nathan McGuire
Nathan McSweeney
Nathan Reardon
Nathan Smith
Nathan Waller
Natim Hassam
Natsai M'shangwe
Nauman Anwar
Naushad Shaikh
Navantha Rathnayake
Navdeep Saini
Naved Malik
Naved Yasin
Naveed Ahmed
Naveed Obaid
Naveed Pathan
Naveed Shahid
Naveen Fernando
Naveen Kanwar
Naveen-ul-Haq
Naveenraj Rajendran
Navid Balouch
Navin Bidaisee
Navin Param
Navin Wijesekera
Navindu Vithanage
Navneet Dhaliwal
Navneet Singh
Navod Paranavithana
Navodya Imesh
Nawab Khan
Nawanjaya Fernando
Nawazish Akhtar
Nawroz Mangal
Nay Lin Htun
Nayana Fernando
Nayeem Hasan
Nazakat Ali
Nazir Patel
Nazmul Hossain Milon
Nazmul Huda
Nazmul Islam
Nazril Rahman
Ndumiso Mvelase
Ned Eckersley
Neelam Obi
Neeraj Tiwari
Neeraj Tyagi
Nehal Wadhera
Nehemiah Odhiambo
Neil Brand
Neil Broom
Neil Dexter
Neil Karnik
Neil Mugabe
Neil Rock
Neil Timmers
Neil Wagner
Nelson Odhiambo
Nemanja Zimonjic
Nestor Dhamba
Neville Madziva
Newman Nyamhuri
Ngawang Thinley
Ngazibini Sigwili
Niall O'Brien
Niaz Ali
Niaz Khan
Nic Maddinson
Nicholas Bertus
Nicholas Janes
Nicholas Johns-Wickberg
Nicholas Kirton
Nicholas Maiolo
Nicholas Pooran
Nicholas Salonen
Nicholas Standford
Nick Browne
Nick Compton
Nick Ferraby
Nick Greenwood
Nick Gubbins
Nick Hobson
Nick Kelly
Nick Kwant
Nick Larkin
Nick Selman
Nick Welch
Nicky van den Bergh
Nicolaas Pretorius
Nicolaas Scholtz
Nicolaj Laegsgaard
Niel Botha
Niel Hornbuckle
Nihaduzzaman
Nihal Surlaker
Nikhil Chaudhary
Nikhil Dutta
Nikhil Gangta
Nikhil Naik
Nikhil Sharma
Nikhilesh Surendran
Nikola Davidovic
Nikolaas Davin
Nikolai Smith
Nikolaos Katechis
Nikolay Nankov
Nikunj Ahir
Nilaksha Kasun
Nilanka Premaratne
Nilanka Rukshitha
Nilansh Keswani
Nilantha Cooray
Nilushan Nonis
Nimanda Madushanka
Nimantha Gunasiri
Nimantha Peiris
Nimantha Perera
Nimesh Perera - jnr
Nimesh Vimukthi
Nimesha Gunasinghe
Nimesha Mendis
Nimish Lathief
Nimna Fernando
Nimnaka Ratnayake
Nimsara Atharagalla
Ninad Rathva
Nipan Deka
Nipun Dananjaya
Nipun Dhananjaya
Nipun Haggalla
Nipun Karunanayake
Nipun Malinga
Nipun Premaratne
Nipun Ransika
Nipuna Gamage
Nipuna Kariyawasam
Niraj Khanna
Nirmala Rathnayake
Nirmaljit Singh
Niroshan Dickwella
Nirupam Sen Chowdhary
Nisal Francisco
Nisal Randika
Nisala Tharaka
Nisar Ahmad
Nisar Wahdat
Nisarg Patel
Nisham Mazahir
Nishan Madushka
Nishan Perera
Nishan Thilanka
Nishant Sindhu
Nishantha Kumara
Nishat Nazmussakib
Nitin Sharma
Nitin Tanwar
Nitish Hirani
Nitish Kumar
Nitish Kumar Reddy
Nitish Rana
Nitish Salekar
Niv Nagavkar
Nived Gireesh
Nivek Tanner
Niyas Pullariyil
Nizakat Khan
Nizar Ali
Nizar Niyas
Nkosana Mpofu
Nkosilathi Nungu
Nkrumah Bonner
Noa Acawei
Noah Croes
Noah Mead
Noah Thain
Noman Amjad
Nono Pongolo
Noor Ali Zadran
Noor ul Rahman
Noor-ul-Haq
Noorkhan Ahmedi
Nooruddin Mujadady
Nopphon Senamontree
Norman Vanua
Nosaina Pokana
Nouman Butt
Nouman Sarwar
Nqabayomzi Peter
Ntokozo Mahlaba
Numan Ahmadzai
Numan Shah
Nurul Hasan
Nuruzzaman
Nuwan Chanaka
Nuwan Kulasekara
Nuwan Priyadarshana
Nuwan Sampath
Nuwanidu Fernando
Nyambaatar Naranbaatar
Nyasha Mayavo
Nyeem Young
Nyein Cham Soe
Nyiko Shikwambana
Nzanthung Mozhui
Obaidullah
Obed Harvey
Obus Pienaar
Od Lutbayar
Odean Smith
Okasha Isiyaku
Okera Bascome
Olayinka Olaleye
Oli Carter
Oli Patterson
Oliver Davidson
Oliver Davies
Oliver Gunning
Oliver Hald
Oliver Hannon-Dalby
Oliver Herrington
Oliver Metcalfe
Oliver Newey
Oliver Nightingale
Oliver Peake
Oliver Price
Oliver Riley
Oliver Tilley
Oliver Webster
Ollie Hairs
Ollie Newton
Ollie Pope
Ollie Robinson
Ollie Sykes
Ollie White
Olly Stone
Olly Westbury
Omair Yousuf
Omar Hussain
Omar Rassol
Omar Willis
Omary Kitunda
Omesh Mendis
Omid Mailk Khel
Omid Rahimi
Omphile Ramela
Onias Bascome
Onke Nyaku
Orapeleng Motlhoaring
Orchide Tuyisenge
Ordell Casasola
Orlando Peters
Oronde Bascome
Osama Mahmood
Oscar Jackson
Oscar Manishimwe
Oscar Taylor
Oshada Fernando
Osman Sadat
Oswald Sam Arthur
Ottneil Baartman
Ouattara Djakaridja
Ouattara Mohamed
Ousman Bah
Ovais Yousof
Ovin Bopage
Owais Shah
Owen Groves
Owen Morgan
Owen Muzondo
P Nitesh Reddy
P Saravana Kumar
Paani Vailoa
Paaras Khari
Paballo Mogoera
Pabasara Waduge
Padmakar Surve
Padmanabhan Prasanth
Paing Danu
Pallavkumar Das
Panagiotis Magafas
Panashe Taruvinga
Pankaj Kumar
Pankaj Malav
Pankaj Vekaria
Pansilu Deshan
Paolo Buccimazza
Parameeswaran Sivaraman
Parandaman Thamaraikannan
Paras Dogra
Paras Khadka
Pardeep Sahu
Pardeep Yadav
Pargat Singh
Parikshit Valsangkar
Parth Chauhan
Parth Jayeshbhai Patel
Parth Sahani
Parth Suman Bhai Ahir
Parth Vats
Parthiv Patel
Parveen Kumar
Parvez Ahmed
Parvez Hossain Emon
Parvez Rasool
Parvindar Kumar
Pascal Murungi
Pasindu Lakshanka
Pasindu Madushan
Pasindu Pathum
Pasindu Sooriyabandara
Pat Cummins
Pathum Botheju
Pathum Dilshan
Pathum Madusanka
Pathum Nissanka
Patras Masih
Patrick Botha
Patrick Dooley
Patrick Gouge
Patrick Grieshaber
Patrick Hatchman
Patrick Heron
Patrick Kruger
Patrick Mambo
Patrick Matautaava
Patrick Nou
Patrick Rowe
Paul Chin
Paul Collingwood
Paul Coughlin
Paul Hennessy
Paul Horton
Paul Manning
Paul Stirling
Paul Taylor
Paul Walter
Paul van Meekeren
Pavan Arachchige
Pavan Deshpande
Pavan Rathnayake
Pavel Florin
Pawan Dias
Pawan Negi
Pawan Pathiraja
Pawan Sandesh
Pawan Sarraf
Pawan Wickramasinghe
Pawantha Weerasinghe
Pedro Arrighi
Pedro Baron
Pedro Bruno
Peni Dakainivanua
Peni Kotoisuva
Peni Vuniwaqa
Perwez Malikzai
Peter Aho
Peter Ananya
Peter Borren
Peter Campbell
Peter David Bocock
Peter Eakin
Peter Forrest
Peter Francis
Peter Gallagher
Peter Gough
Peter Handscomb
Peter Karoho
Peter Moor
Peter Nedeljkovic
Peter Nevill
Peter Trego
Peter Younghusband
Peter-Daniel Blignaut
Petre Danci
Petros Sithole
Phanuphong Thongsa
Phaphama Fojela
Pheko Moletsane
Phemelo Silas
Phil Mustard
Phil Salt
Philip Raikes
Philip Yevugah
Philippe Boissevain
Philippe le Roux
Phillip Roberts
Phillip Zuze
Phiriyapong Suanchuai
Phumlani Sibiya
Pieter Malan
Pieter Seelaar
Pieter Stuurman
Pikky Ya France
Pinak Ghosh
Pinal Shah
Pirakajan Pirabakaran
Pishan Hewage
Pite van Biljon
Piyush Chawla
Piyush Dahiya
Piyush Joshi
Piyush Singh
Piyush Singh Baghel
Piyush Tanwar
Poorna Charuka
Poorna Wannithilake
Popal
Prabhsimran Singh
Pradeep Airee
Pradeep Mohanarangam
Pradipta Pramanik
Prafullomani Singh
Prakash Mishra
Pramod Chandila
Pramod Madushan
Pramodh Kumara
Pramud Hettiwatte
Pranay Gheewala
Praneeth Dias
Praneeth Wijesena
Pranshu Vijayran
Prasanna Jayawardene
Prasansana Jayamanne
Prasanth Kumar
Prashan Wickramasinghe
Prashant Awasthi
Prashant Chopra
Prashant Gupta
Prashant Kurup
Prashant Madhukar
Prateek Reddy
Pratham Singh
Prathapa Siriwardhana
Pratik Agnihotri
Pratik Athavale
Pratik Das
Pratik Singh Bais
Praveen Dubey
Praveen Kumar
Praveen Sandamal
Praveen Santhanakrishnan
Pravin Tambe
Prayas Ray Barman
Prayash Singh
Preetaj Deol
Prenelan Subrayen
Prerak Mankad
Preston Mommsen
Primosh Perera
Primoz Pustoslemsek
Prince Dhiman
Prince Masvaure
Prince Yadav
Prithvi Bhart
Prithvi Shaw
Pritom Kumar
Priyam Garg
Priyamal Perera
Priyan Pushparajan
Priyank Panchal
Priyansh Arya
Priyesh Patel
Promod Maduwantha
Prosper Mugeri
Prosper Useni
Prosper Utseya
Protais Abanda
Pruthuvi Rusara
Pukhraj Mann
Pulina Tharanga
Pulindu Perera
Puneet Arora
Pushkar Sharma
Pyae Phyo Wai
Pyla Avinash
Qaasim Adams
Qadargul Utmanzai
Qais Ahmad
Qalandar Khan
Qamar Mushtaque
Qamar Shams
Qamran Iqbal
Qasim Akram
Qasim OryaKhail
Qateel Zabiullah
Qazi Onik
Quentin Sampson
Quinton de Kock
RS Jaganath Sinivas
Raag Kapur
Raaz Mohammad
Rabian Engelbrecht
Rachin Ravindra
Raees Ahmed
Rafatullah Mohmand
Rafiullah
Rafsan Al Mahamud
Raghav Dhawan
Rahat Ali
Rahat Kazi
Rahatul Ferdous
Raheel Ameer
Raheel Majeed
Rahel Khan
Rahil Ahmed
Rahim Mangal
Rahkeem Cornwall
Rahman Ademi
Rahmanullah
Rahmanullah Gurbaz
Rahmat Shah
Rahmatullah Mangal
Rahmatullah Sahaq
Rahul Ahir
Rahul Batham
Rahul Buddhi
Rahul Chahar
Rahul Chopra
Rahul Gowthaman
Rahul Gunasekara
Rahul Gunasekera
Rahul Hazarika
Rahul Jariwala
Rahul Sheshadri
Rahul Singh
Rahul Tewatia
Rahul Tripathi
Rahulkumar Hashu
Raihan Hossain
Raiphi Gomez
Raja Shoaib
Rajagopal Sathish
Rajandeep Singh
Rajat Bhatia
Rajat Dey
Rajat Paliwal
Rajat Patidar
Rajeewa Weerasinghe
Rajendra Pisal
Rajesh Bishnoi
Rajesh Dhuper
Rajesh Kumar
Rajesh Mohanty
Rajesh Pulami
Rajeshkumar Ranpura
Rajibul Islam
Rajith Priyan
Rajitha Ranaweera
Rajitha Ratnayake
Rajjakuddin Ahmed
Rajkumar Rajendran
Rajneesh Gurbani
Raju Gayashan
Raj Bawa
Rakep Patel
Rakesh Thakur
Rakibul Hasan
Rakin Ahmed
Ralf Fernando
Ram Chouhan
Ram Saun
Ram Sharan
Ramaal Lewis
Ramachandran Ragupathy
Ramandeep Singh
Ramanjot Singh
Rameez Ahmed
Rameez Aziz
Rameez Khan
Rameez Raja
Rameez Shahzad
Ramesh Kumar
Ramesh Lakmal
Ramesh Limbu
Ramesh Mendis
Ramesh Nimantha
Ramesh Satheesan
Ramesh Vithanawasam
Raminda Wijesooriya
Ramindu Nikeshala
Ramiro Escobar
Ramith Rambukwella
Ramnaresh Sarwan
Ramnivas Golada
Ramon Sealy
Rana Dutta
Randeera Ranasinghe
Randunu Ganganath
Ranesh Perera
Ranesh Silva
Ranga Dissanayake
Ranil Dhammika
Ranitha Liyanarachchi
Ranjeet Nikam
Ranjit Singh
Ranjot Khaira
Ranjung Mikyo Dorji
Ranmith Jayasena
Ranuda Somarathne
Rao Nil
Raoul Sharma
Raphael Weatherall
Raqibul Hasan
Rasheed Abolarin
Rasheed Ali Mamadkhel
Rashen de Silva
Rashid Hashmi
Rashid Khan
Rashmika Hirushan
Rashmika Madushanka
Rasikh Salam
Rassie van der Dussen
Ratul Khan
Raunaq Kapur
Raveen Sayer
Raveen Yasas
Raveen de Silva
Ravi Bopara
Ravi Chauhan
Ravi Jangid
Ravi Panchal
Ravi Patel
Ravi Teja
Ravi Thakur
Ravi Thapliyal
Ravichandran Ashwin
Ravija Sandaruwan
Ravinder Singh
Ravinderpal Singh
Ravindra Athapaththu
Ravindra Jadeja
Ravindra Karunaratne
Ravindu Fernando
Ravindu Kodituwakku
Ravindu Rasantha
Ravindu Rathnayake
Ravindu Sembukuttige
Ravindu Tillakaratne
Ravishka Wijesiri
Ravisrinivasan Sai Kishore
Rayad Emrit
Rayan Rahman
Raymon Reifer
Raymond Coker
Raymond van Schoor
Raynard van Tonder
Rayyan Pathan
Raza Ali Dar
Raza Hasan
Raza Iqbal
Razmal Shigiwal
Reeve Cyster
Reeza Hendricks
Reginald Nehonde
Regis Chakabva
Rehan Afridi
Rehan Ahmed
Rehan Peiris
Rehman Abdul
Reinhardt Heyns
